Date;Comp;Day;Venue;Result;GF;GA;Opponent
10/09/2019;WCQ;Tue;Away;W;3;0;kw Kuwait
10/10/2019;WCQ;Thu;Home;W;5;0;np Nepal
15/10/2019;WCQ;Tue;Away;W;7;1;tw Chinese Taipei
14/11/2019;WCQ;Thu;Away;W;1;0;jo Jordan
3/06/2021;WCQ;Thu;Home;W;3;0;kw Kuwait
7/06/2021;WCQ;Mon;Home;W;5;1;tw Chinese Taipei
11/06/2021;WCQ;Fri;Away;W;3;0;np Nepal
15/06/2021;WCQ;Tue;Home;W;1;0;jo Jordan
2/09/2021;WCQ;Thu;Home;W;3;0;cn China PR
7/09/2021;WCQ;Tue;Away;W;1;0;vn Vietnam
7/10/2021;WCQ;Thu;Home;W;3;1;om Oman
12/10/2021;WCQ;Tue;Away;L;1;2;jp Japan
11/11/2021;WCQ;Thu;Home;D;0;0;sa Saudi Arabia
16/11/2021;WCQ;Tue;Away;D;1;1;cn China PR
27/01/2022;WCQ;Thu;Home;W;4;0;vn Vietnam
1/02/2022;WCQ;Tue;Away;D;2;2;om Oman
24/03/2022;WCQ;Thu;Home;L;0;2;jp Japan
29/03/2022;WCQ;Tue;Away;L;0;1;sa Saudi Arabia
1/06/2022;Friendlies (M);Wed;Neutral;W;2;1;jo Jordan
7/06/2022;WCQ;Tue;Neutral;W;2;1;ae UAE
13/06/2022;WCQ Play-offs;Mon;Neutral;D;0;0;pe Peru
22/09/2022;Friendlies (M);Thu;Home;W;1;0;nz New Zealand
25/09/2022;Friendlies (M);Sun;Away;W;2;0;nz New Zealand
