Date;Comp;Day;Venue;Result;GF;GA;Opponent
24/03/2021;WCQ;Wed;Home;W;3;1;wls Wales
27/03/2021;WCQ;Sat;Away;D;1;1;cz Czech Republic
30/03/2021;WCQ;Tue;Home;W;8;0;by Belarus
2/09/2021;WCQ;Thu;Away;W;5;2;ee Estonia
5/09/2021;WCQ;Sun;Home;W;3;0;cz Czech Republic
8/09/2021;WCQ;Wed;Away;W;1;0;by Belarus
13/11/2021;WCQ;Sat;Home;W;3;1;ee Estonia
16/11/2021;WCQ;Tue;Away;D;1;1;wls Wales
26/03/2022;Friendlies (M);Sat;Away;D;2;2;ie Rep. of Ireland
29/03/2022;Friendlies (M);Tue;Home;W;3;0;bf Burkina Faso
3/06/2022;UEFA Nations League;Fri;Home;L;1;4;nl Netherlands
8/06/2022;UEFA Nations League;Wed;Home;W;6;1;pl Poland
11/06/2022;UEFA Nations League;Sat;Away;D;1;1;wls Wales
14/06/2022;UEFA Nations League;Tue;Away;W;1;0;pl Poland
22/09/2022;UEFA Nations League;Thu;Home;W;2;1;wls Wales
25/09/2022;UEFA Nations League;Sun;Away;L;0;1;nl Netherlands
