Date;Comp;Day;Venue;Result;GF;GA;Opponent
3/09/2021;WCQ;Fri;Home;W;2;0;mw Malawi
6/09/2021;WCQ;Mon;Away;L;1;2;ci Côte d'Ivoire
8/10/2021;WCQ;Fri;Home;W;3;1;mz Mozambique
11/10/2021;WCQ;Mon;Away;W;1;0;mz Mozambique
13/11/2021;WCQ;Sat;Away;W;4;0;mw Malawi
16/11/2021;WCQ;Tue;Home;W;1;0;ci Côte d'Ivoire
9/01/2022;Africa Cup of Nations;Sun;Neutral;W;2;1;bf Burkina Faso
13/01/2022;Africa Cup of Nations;Thu;Neutral;W;4;1;et Ethiopia
17/01/2022;Africa Cup of Nations;Mon;Neutral;D;1;1;cv Cape Verde
24/01/2022;Africa Cup of Nations;Mon;Neutral;W;2;1;km Comoros
29/01/2022;Africa Cup of Nations;Sat;Neutral;W;2;0;gm Gambia
3/02/2022;Africa Cup of Nations;Thu;Neutral;D;0;0;eg Egypt
5/02/2022;Africa Cup of Nations;Sat;Neutral;D;3;3;bf Burkina Faso
25/03/2022;WCQ;Fri;Home;L;0;1;dz Algeria
29/03/2022;WCQ;Tue;Away;W;2;1;dz Algeria
9/06/2022;Africa Cup of Nations qualification;Thu;Neutral;W;1;0;bi Burundi
23/09/2022;Friendlies (M);Fri;Neutral;L;0;2;uz Uzbekistan
27/09/2022;Friendlies (M);Tue;Away;L;0;1;kr Korea Republic
