Date;Comp;Day;Venue;Result;GF;GA;Opponent
25/03/2021;WCQ;Thu;Home;W;5;1;bm Bermuda
29/03/2021;WCQ;Mon;Away;W;11;0;ky Cayman Islands
5/06/2021;WCQ;Sat;Away;W;7;0;aw Aruba
8/06/2021;WCQ;Tue;Home;W;4;0;sr Suriname
12/06/2021;WCQ;Sat;Away;W;1;0;ht Haiti
15/06/2021;WCQ;Tue;Home;W;3;0;ht Haiti
2/09/2021;WCQ;Thu;Home;D;1;1;hn Honduras
5/09/2021;WCQ;Sun;Away;D;1;1;us United States
8/09/2021;WCQ;Wed;Home;W;3;0;sv El Salvador
7/10/2021;WCQ;Thu;Away;D;1;1;mx Mexico
10/10/2021;WCQ;Sun;Away;D;0;0;jm Jamaica
13/10/2021;WCQ;Wed;Home;W;4;1;pa Panama
12/11/2021;WCQ;Fri;Home;W;1;0;cr Costa Rica
16/11/2021;WCQ;Tue;Home;W;2;1;mx Mexico
27/01/2022;WCQ;Thu;Away;W;2;0;hn Honduras
30/01/2022;WCQ;Sun;Home;W;2;0;us United States
2/02/2022;WCQ;Wed;Away;W;2;0;sv El Salvador
24/03/2022;WCQ;Thu;Away;L;0;1;cr Costa Rica
27/03/2022;WCQ;Sun;Home;W;4;0;jm Jamaica
30/03/2022;WCQ;Wed;Away;L;0;1;pa Panama
23/09/2022;Friendlies (M);Fri;Neutral;W;2;0;qa Qatar
27/09/2022;Friendlies (M);Tue;Home;L;0;2;uy Uruguay
