Date;Comp;Day;Venue;Result;GF;GA;Opponent
2/09/2021;WCQ;Thu;Away;D;0;0;pa Panama
5/09/2021;WCQ;Sun;Home;L;0;1;mx Mexico
8/09/2021;WCQ;Wed;Home;D;1;1;jm Jamaica
7/10/2021;WCQ;Thu;Away;D;0;0;hn Honduras
10/10/2021;WCQ;Sun;Home;W;2;1;sv El Salvador
13/10/2021;WCQ;Wed;Away;L;1;2;us United States
12/11/2021;WCQ;Fri;Away;L;0;1;ca Canada
16/11/2021;WCQ;Tue;Home;W;2;1;hn Honduras
27/01/2022;WCQ;Thu;Home;W;1;0;pa Panama
30/01/2022;WCQ;Sun;Away;D;0;0;mx Mexico
2/02/2022;WCQ;Wed;Away;W;1;0;jm Jamaica
24/03/2022;WCQ;Thu;Home;W;1;0;ca Canada
27/03/2022;WCQ;Sun;Away;W;2;1;sv El Salvador
30/03/2022;WCQ;Wed;Home;W;2;0;us United States
14/06/2022;WCQ Play-offs;Tue;Neutral;W;1;0;nz New Zealand
23/09/2022;Friendlies (M);Fri;Away;D;2;2;kr Korea Republic
27/09/2022;Friendlies (M);Tue;Neutral;W;2;1;uz Uzbekistan
