Date;Comp;Day;Venue;Result;GF;GA;Opponent
24/03/2021;WCQ;Wed;Away;L;0;1;si Slovenia
27/03/2021;WCQ;Sat;Home;W;1;0;cy Cyprus
30/03/2021;WCQ;Tue;Home;W;3;0;mt Malta
1/09/2021;WCQ;Wed;Away;D;0;0;ru Russia
4/09/2021;WCQ;Sat;Away;W;1;0;sk Slovakia
7/09/2021;WCQ;Tue;Home;W;3;0;si Slovenia
8/10/2021;WCQ;Fri;Away;W;3;0;cy Cyprus
11/10/2021;WCQ;Mon;Home;D;2;2;sk Slovakia
11/11/2021;WCQ;Thu;Away;W;7;1;mt Malta
14/11/2021;WCQ;Sun;Home;W;1;0;ru Russia
26/03/2022;Friendlies (M);Sat;Home;D;1;1;si Slovenia
29/03/2022;Friendlies (M);Tue;Home;W;2;1;bg Bulgaria
3/06/2022;UEFA Nations League;Fri;Home;L;0;3;at Austria
6/06/2022;UEFA Nations League;Mon;Home;D;1;1;fr France
10/06/2022;UEFA Nations League;Fri;Away;W;1;0;dk Denmark
13/06/2022;UEFA Nations League;Mon;Away;W;1;0;fr France
22/09/2022;UEFA Nations League;Thu;Home;W;2;1;dk Denmark
25/09/2022;UEFA Nations League;Sun;Away;W;3;1;at Austria
