Date;Comp;Day;Venue;Result;GF;GA;Opponent
25/03/2021;WCQ;Thu;Away;W;2;0;il Israel
28/03/2021;WCQ;Sun;Home;W;8;0;md Moldova
31/03/2021;WCQ;Wed;Away;W;4;0;at Austria
1/09/2021;WCQ;Wed;Home;W;2;0;sct Scotland
4/09/2021;WCQ;Sat;Away;W;1;0;fo Faroe Islands
7/09/2021;WCQ;Tue;Home;W;5;0;il Israel
9/10/2021;WCQ;Sat;Away;W;4;0;md Moldova
12/10/2021;WCQ;Tue;Home;W;1;0;at Austria
12/11/2021;WCQ;Fri;Home;W;3;1;fo Faroe Islands
15/11/2021;WCQ;Mon;Away;L;0;2;sct Scotland
26/03/2022;Friendlies (M);Sat;Away;L;2;4;nl Netherlands
29/03/2022;Friendlies (M);Tue;Home;W;3;0;rs Serbia
3/06/2022;UEFA Nations League;Fri;Away;W;2;1;fr France
6/06/2022;UEFA Nations League;Mon;Away;W;2;1;at Austria
10/06/2022;UEFA Nations League;Fri;Home;L;0;1;hr Croatia
13/06/2022;UEFA Nations League;Mon;Home;W;2;0;at Austria
22/09/2022;UEFA Nations League;Thu;Away;L;1;2;hr Croatia
25/09/2022;UEFA Nations League;Sun;Home;W;2;0;fr France
