Date;Comp;Day;Venue;Result;GF;GA;Opponent
25/03/2021;WCQ;Thu;Home;W;5;0;sm San Marino
28/03/2021;WCQ;Sun;Away;W;2;0;al Albania
31/03/2021;WCQ;Wed;Home;W;2;1;pl Poland
2/09/2021;WCQ;Thu;Away;W;4;0;hu Hungary
5/09/2021;WCQ;Sun;Home;W;4;0;ad Andorra
8/09/2021;WCQ;Wed;Away;D;1;1;pl Poland
9/10/2021;WCQ;Sat;Away;W;5;0;ad Andorra
12/10/2021;WCQ;Tue;Home;D;1;1;hu Hungary
12/11/2021;WCQ;Fri;Home;W;5;0;al Albania
15/11/2021;WCQ;Mon;Away;W;10;0;sm San Marino
26/03/2022;Friendlies (M);Sat;Home;W;2;1;ch Switzerland
29/03/2022;Friendlies (M);Tue;Home;W;3;0;ci Côte d'Ivoire
4/06/2022;UEFA Nations League;Sat;Away;L;0;1;hu Hungary
7/06/2022;UEFA Nations League;Tue;Away;D;1;1;de Germany
11/06/2022;UEFA Nations League;Sat;Home;D;0;0;it Italy
14/06/2022;UEFA Nations League;Tue;Home;L;0;4;hu Hungary
23/09/2022;UEFA Nations League;Fri;Away;L;0;1;it Italy
26/09/2022;UEFA Nations League;Mon;Home;D;3;3;de Germany
