Date;Comp;Day;Venue;Result;GF;GA;Opponent
24/03/2021;WCQ;Wed;Home;D;1;1;ua Ukraine
28/03/2021;WCQ;Sun;Away;W;2;0;kz Kazakhstan
31/03/2021;WCQ;Wed;Away;W;1;0;ba Bosnia & Herz'na
1/09/2021;WCQ;Wed;Home;D;1;1;ba Bosnia & Herz'na
4/09/2021;WCQ;Sat;Away;D;1;1;ua Ukraine
7/09/2021;WCQ;Tue;Home;W;2;0;fi Finland
13/11/2021;WCQ;Sat;Home;W;8;0;kz Kazakhstan
16/11/2021;WCQ;Tue;Away;W;2;0;fi Finland
25/03/2022;Friendlies (M);Fri;Home;W;2;1;ci Côte d'Ivoire
29/03/2022;Friendlies (M);Tue;Home;W;5;0;za South Africa
3/06/2022;UEFA Nations League;Fri;Home;L;1;2;dk Denmark
6/06/2022;UEFA Nations League;Mon;Away;D;1;1;hr Croatia
10/06/2022;UEFA Nations League;Fri;Away;D;1;1;at Austria
13/06/2022;UEFA Nations League;Mon;Home;L;0;1;hr Croatia
22/09/2022;UEFA Nations League;Thu;Home;W;2;0;at Austria
25/09/2022;UEFA Nations League;Sun;Away;L;0;2;dk Denmark
