Date;Comp;Day;Venue;Result;GF;GA;Opponent
25/03/2021;WCQ;Thu;Home;W;3;0;is Iceland
28/03/2021;WCQ;Sun;Away;W;1;0;ro Romania
31/03/2021;WCQ;Wed;Home;L;1;2;mk N. Macedonia
2/09/2021;WCQ;Thu;Away;W;2;0;li Liechtenstein
5/09/2021;WCQ;Sun;Home;W;6;0;am Armenia
8/09/2021;WCQ;Wed;Away;W;4;0;is Iceland
8/10/2021;WCQ;Fri;Home;W;2;1;ro Romania
11/10/2021;WCQ;Mon;Away;W;4;0;mk N. Macedonia
11/11/2021;WCQ;Thu;Home;W;9;0;li Liechtenstein
14/11/2021;WCQ;Sun;Away;W;4;1;am Armenia
26/03/2022;Friendlies (M);Sat;Home;W;2;0;il Israel
29/03/2022;Friendlies (M);Tue;Away;D;1;1;nl Netherlands
4/06/2022;UEFA Nations League;Sat;Away;D;1;1;it Italy
7/06/2022;UEFA Nations League;Tue;Home;D;1;1;eng England
11/06/2022;UEFA Nations League;Sat;Away;D;1;1;hu Hungary
14/06/2022;UEFA Nations League;Tue;Home;W;5;2;it Italy
23/09/2022;UEFA Nations League;Fri;Home;L;0;1;hu Hungary
26/09/2022;UEFA Nations League;Mon;Away;D;3;3;eng England
