Date;Comp;Day;Venue;Result;GF;GA;Opponent
3/09/2021;WCQ;Fri;Home;W;1;0;et Ethiopia
6/09/2021;WCQ;Mon;Away;L;0;1;za South Africa
9/10/2021;WCQ;Sat;Home;W;3;1;zw Zimbabwe
12/10/2021;WCQ;Tue;Away;W;1;0;zw Zimbabwe
11/11/2021;WCQ;Thu;Away;D;1;1;et Ethiopia
14/11/2021;WCQ;Sun;Home;W;1;0;za South Africa
5/01/2022;Friendlies (M);Wed;Neutral;L;0;3;dz Algeria
10/01/2022;Africa Cup of Nations;Mon;Neutral;L;0;1;ma Morocco
14/01/2022;Africa Cup of Nations;Fri;Neutral;D;1;1;ga Gabon
18/01/2022;Africa Cup of Nations;Tue;Neutral;L;2;3;km Comoros
25/03/2022;WCQ;Fri;Home;D;0;0;ng Nigeria
29/03/2022;WCQ;Tue;Away;D;1;1;ng Nigeria
1/06/2022;Africa Cup of Nations qualification;Wed;Home;W;3;0;mg Madagascar
5/06/2022;Africa Cup of Nations qualification;Sun;Neutral;D;1;1;cf CAR
23/09/2022;Friendlies (M);Fri;Neutral;L;0;3;br Brazil
27/09/2022;Friendlies (M);Tue;Neutral;W;1;0;ni Nicaragua
