Date;Comp;Day;Venue;Result;GF;GA;Opponent
24/03/2021;WCQ;Wed;Away;L;2;4;tr Turkey
27/03/2021;WCQ;Sat;Home;W;2;0;lv Latvia
30/03/2021;WCQ;Tue;Away;W;7;0;gi Gibraltar
1/09/2021;WCQ;Wed;Away;D;1;1;no Norway
4/09/2021;WCQ;Sat;Home;W;4;0;me Montenegro
7/09/2021;WCQ;Tue;Home;W;6;1;tr Turkey
8/10/2021;WCQ;Fri;Away;W;1;0;lv Latvia
11/10/2021;WCQ;Mon;Home;W;6;0;gi Gibraltar
13/11/2021;WCQ;Sat;Away;D;2;2;me Montenegro
16/11/2021;WCQ;Tue;Home;W;2;0;no Norway
26/03/2022;Friendlies (M);Sat;Home;W;4;2;dk Denmark
29/03/2022;Friendlies (M);Tue;Home;D;1;1;de Germany
3/06/2022;UEFA Nations League;Fri;Away;W;4;1;be Belgium
8/06/2022;UEFA Nations League;Wed;Away;W;2;1;wls Wales
11/06/2022;UEFA Nations League;Sat;Home;D;2;2;pl Poland
14/06/2022;UEFA Nations League;Tue;Home;W;3;2;wls Wales
22/09/2022;UEFA Nations League;Thu;Away;W;2;0;pl Poland
25/09/2022;UEFA Nations League;Sun;Home;W;1;0;be Belgium
