Date;Comp;Day;Venue;Result;GF;GA;Opponent
10/09/2019;WCQ;Tue;Away;W;2;0;hk Hong Kong
10/10/2019;WCQ;Thu;Home;W;14;0;kh Cambodia
15/10/2019;WCQ;Tue;Away;L;0;1;bh Bahrain
14/11/2019;WCQ;Thu;Away;L;1;2;iq Iraq
3/06/2021;WCQ;Thu;Home;W;3;1;hk Hong Kong
7/06/2021;WCQ;Mon;Home;W;3;0;bh Bahrain
11/06/2021;WCQ;Fri;Away;W;10;0;kh Cambodia
15/06/2021;WCQ;Tue;Home;W;1;0;iq Iraq
2/09/2021;WCQ;Thu;Home;W;1;0;sy Syria
7/09/2021;WCQ;Tue;Away;W;3;0;iq Iraq
7/10/2021;WCQ;Thu;Away;W;1;0;ae UAE
12/10/2021;WCQ;Tue;Home;D;1;1;kr Korea Republic
11/11/2021;WCQ;Thu;Away;W;2;1;lb Lebanon
16/11/2021;WCQ;Tue;Away;W;3;0;sy Syria
27/01/2022;WCQ;Thu;Home;W;1;0;iq Iraq
1/02/2022;WCQ;Tue;Home;W;1;0;ae UAE
24/03/2022;WCQ;Thu;Away;L;0;2;kr Korea Republic
29/03/2022;WCQ;Tue;Home;W;2;0;lb Lebanon
12/06/2022;Friendlies (M);Sun;Neutral;L;1;2;dz Algeria
23/09/2022;Friendlies (M);Fri;Neutral;W;1;0;uy Uruguay
27/09/2022;Friendlies (M);Tue;Neutral;D;1;1;sn Senegal
