Date;Comp;Day;Venue;Result;GF;GA;Opponent
10/09/2019;WCQ;Tue;Away;W;2;0;mm Myanmar
10/10/2019;WCQ;Thu;Home;W;6;0;mn Mongolia
15/10/2019;WCQ;Tue;Away;W;3;0;tj Tajikistan
14/11/2019;WCQ;Thu;Away;W;2;0;kg Kyrgyz Republic
30/03/2021;WCQ;Tue;Away;W;14;0;mn Mongolia
28/05/2021;WCQ;Fri;Home;W;10;0;mm Myanmar
7/06/2021;WCQ;Mon;Home;W;4;1;tj Tajikistan
15/06/2021;WCQ;Tue;Home;W;5;1;kg Kyrgyz Republic
2/09/2021;WCQ;Thu;Home;L;0;1;om Oman
7/09/2021;WCQ;Tue;Away;W;1;0;cn China PR
7/10/2021;WCQ;Thu;Away;L;0;1;sa Saudi Arabia
12/10/2021;WCQ;Tue;Home;W;2;1;au Australia
11/11/2021;WCQ;Thu;Away;W;1;0;vn Vietnam
16/11/2021;WCQ;Tue;Away;W;1;0;om Oman
27/01/2022;WCQ;Thu;Home;W;2;0;cn China PR
1/02/2022;WCQ;Tue;Home;W;2;0;sa Saudi Arabia
24/03/2022;WCQ;Thu;Away;W;2;0;au Australia
29/03/2022;WCQ;Tue;Home;D;1;1;vn Vietnam
2/06/2022;Friendlies (M);Thu;Home;W;4;1;py Paraguay
6/06/2022;Friendlies (M);Mon;Home;L;0;1;br Brazil
23/09/2022;Friendlies (M);Fri;Neutral;W;2;0;us United States
27/09/2022;Friendlies (M);Tue;Neutral;D;0;0;ec Ecuador
