Date;Comp;Day;Venue;Result;GF;GA;Opponent
2/09/2021;WCQ;Thu;Home;W;2;0;sd Sudan
6/10/2021;WCQ;Wed;Home;W;5;0;gw Guinea-Bissau
9/10/2021;WCQ;Sat;Away;W;3;0;gw Guinea-Bissau
12/10/2021;WCQ;Tue;Away;W;4;1;gn Guinea
12/11/2021;WCQ;Fri;Away;W;3;0;sd Sudan
16/11/2021;WCQ;Tue;Home;W;3;0;gn Guinea
10/01/2022;Africa Cup of Nations;Mon;Neutral;W;1;0;gh Ghana
14/01/2022;Africa Cup of Nations;Fri;Neutral;W;2;0;km Comoros
18/01/2022;Africa Cup of Nations;Tue;Neutral;D;2;2;ga Gabon
25/01/2022;Africa Cup of Nations;Tue;Neutral;W;2;1;mw Malawi
30/01/2022;Africa Cup of Nations;Sun;Neutral;L;1;2;eg Egypt
25/03/2022;WCQ;Fri;Away;D;1;1;cd Congo DR
29/03/2022;WCQ;Tue;Home;W;4;1;cd Congo DR
1/06/2022;Friendlies (M);Wed;Away;L;0;3;us United States
9/06/2022;Africa Cup of Nations qualification;Thu;Home;W;2;1;za South Africa
13/06/2022;Africa Cup of Nations qualification;Mon;Neutral;W;2;0;lr Liberia
23/09/2022;Friendlies (M);Fri;Home;W;2;0;cl Chile
27/09/2022;Friendlies (M);Tue;Neutral;D;0;0;py Paraguay
