Date;Comp;Day;Venue;Result;GF;GA;Opponent
25/03/2021;WCQ;Thu;Away;D;3;3;hu Hungary
28/03/2021;WCQ;Sun;Home;W;3;0;ad Andorra
31/03/2021;WCQ;Wed;Away;L;1;2;eng England
2/09/2021;WCQ;Thu;Home;W;4;1;al Albania
5/09/2021;WCQ;Sun;Away;W;7;1;sm San Marino
8/09/2021;WCQ;Wed;Home;D;1;1;eng England
9/10/2021;WCQ;Sat;Home;W;5;0;sm San Marino
12/10/2021;WCQ;Tue;Away;W;1;0;al Albania
12/11/2021;WCQ;Fri;Away;W;4;1;ad Andorra
15/11/2021;WCQ;Mon;Home;L;1;2;hu Hungary
24/03/2022;Friendlies (M);Thu;Away;D;1;1;sct Scotland
29/03/2022;WCQ;Tue;Home;W;2;0;se Sweden
1/06/2022;UEFA Nations League;Wed;Home;W;2;1;wls Wales
8/06/2022;UEFA Nations League;Wed;Away;L;1;6;be Belgium
11/06/2022;UEFA Nations League;Sat;Away;D;2;2;nl Netherlands
14/06/2022;UEFA Nations League;Tue;Home;L;0;1;be Belgium
22/09/2022;UEFA Nations League;Thu;Home;L;0;2;nl Netherlands
25/09/2022;UEFA Nations League;Sun;Away;W;1;0;wls Wales
