Date;Comp;Day;Venue;Result;GF;GA;Opponent
24/03/2021;WCQ;Wed;Home;W;1;0;az Azerbaijan
27/03/2021;WCQ;Sat;Away;D;2;2;rs Serbia
30/03/2021;WCQ;Tue;Away;W;3;1;lu Luxembourg
1/09/2021;WCQ;Wed;Home;W;2;1;ie Rep. of Ireland
7/09/2021;WCQ;Tue;Away;W;3;0;az Azerbaijan
12/10/2021;WCQ;Tue;Home;W;5;0;lu Luxembourg
11/11/2021;WCQ;Thu;Away;D;0;0;ie Rep. of Ireland
14/11/2021;WCQ;Sun;Home;L;1;2;rs Serbia
24/03/2022;WCQ;Thu;Home;W;3;1;tr Turkey
29/03/2022;WCQ;Tue;Home;W;2;0;mk N. Macedonia
2/06/2022;UEFA Nations League;Thu;Away;D;1;1;es Spain
5/06/2022;UEFA Nations League;Sun;Home;W;4;0;ch Switzerland
9/06/2022;UEFA Nations League;Thu;Home;W;2;0;cz Czech Republic
12/06/2022;UEFA Nations League;Sun;Away;L;0;1;ch Switzerland
24/09/2022;UEFA Nations League;Sat;Away;W;4;0;cz Czech Republic
27/09/2022;UEFA Nations League;Tue;Home;L;0;1;es Spain
