Date;Comp;Day;Venue;Result;GF;GA;Opponent
5/09/2019;WCQ;Thu;Home;W;6;0;af Afghanistan
10/09/2019;WCQ;Tue;Home;D;0;0;in India
10/10/2019;WCQ;Thu;Away;W;2;0;bd Bangladesh
15/10/2019;WCQ;Tue;Home;W;2;1;om Oman
19/11/2019;WCQ;Tue;Neutral;W;1;0;af Afghanistan
4/12/2020;WCQ;Fri;Home;W;5;0;bd Bangladesh
3/06/2021;WCQ;Thu;Away;W;1;0;in India
7/06/2021;WCQ;Mon;Away;W;1;0;om Oman
26/03/2022;Friendlies (M);Sat;Home;W;2;1;bg Bulgaria
29/03/2022;Friendlies (M);Tue;Home;D;0;0;si Slovenia
26/08/2022;Friendlies (M);Fri;Home;D;1;1;jm Jamaica
23/09/2022;Friendlies (M);Fri;Neutral;L;0;2;ca Canada
27/09/2022;Friendlies (M);Tue;Home;D;2;2;cl Chile
