Date;Comp;Day;Venue;Result;GF;GA;Opponent
1/09/2021;WCQ;Wed;Home;W;2;0;tg Togo
7/09/2021;WCQ;Tue;Away;W;3;1;cg Congo
9/10/2021;WCQ;Sat;Home;W;4;1;na Namibia
12/10/2021;WCQ;Tue;Away;W;3;1;na Namibia
11/11/2021;WCQ;Thu;Away;D;1;1;tg Togo
14/11/2021;WCQ;Sun;Home;W;2;0;cg Congo
10/01/2022;Africa Cup of Nations;Mon;Neutral;W;1;0;zw Zimbabwe
14/01/2022;Africa Cup of Nations;Fri;Neutral;D;0;0;gn Guinea
18/01/2022;Africa Cup of Nations;Tue;Neutral;D;0;0;mw Malawi
25/01/2022;Africa Cup of Nations;Tue;Neutral;W;2;0;cv Cape Verde
30/01/2022;Africa Cup of Nations;Sun;Neutral;W;3;1;gq Equ. Guinea
2/02/2022;Africa Cup of Nations;Wed;Neutral;W;3;1;bf Burkina Faso
6/02/2022;Africa Cup of Nations;Sun;Neutral;D;0;0;eg Egypt
25/03/2022;WCQ;Fri;Away;L;0;1;eg Egypt
29/03/2022;WCQ;Tue;Home;W;1;0;eg Egypt
4/06/2022;Africa Cup of Nations qualification;Sat;Home;W;3;1;bj Benin
7/06/2022;Africa Cup of Nations qualification;Tue;Away;W;1;0;rw Rwanda
24/09/2022;Friendlies (M);Sat;Neutral;W;2;0;bo Bolivia
27/09/2022;Friendlies (M);Tue;Neutral;D;1;1;ir IR Iran
