Date;Comp;Day;Venue;Result;GF;GA;Opponent
24/03/2021;WCQ;Wed;Home;W;3;2;ie Rep. of Ireland
27/03/2021;WCQ;Sat;Home;D;2;2;pt Portugal
30/03/2021;WCQ;Tue;Away;W;2;1;az Azerbaijan
4/09/2021;WCQ;Sat;Home;W;4;1;lu Luxembourg
7/09/2021;WCQ;Tue;Away;D;1;1;ie Rep. of Ireland
9/10/2021;WCQ;Sat;Away;W;1;0;lu Luxembourg
12/10/2021;WCQ;Tue;Home;W;3;1;az Azerbaijan
14/11/2021;WCQ;Sun;Away;W;2;1;pt Portugal
24/03/2022;Friendlies (M);Thu;Away;W;1;0;hu Hungary
29/03/2022;Friendlies (M);Tue;Away;L;0;3;dk Denmark
2/06/2022;UEFA Nations League;Thu;Home;L;0;1;no Norway
5/06/2022;UEFA Nations League;Sun;Home;W;4;1;si Slovenia
9/06/2022;UEFA Nations League;Thu;Away;W;1;0;se Sweden
12/06/2022;UEFA Nations League;Sun;Away;D;2;2;si Slovenia
24/09/2022;UEFA Nations League;Sat;Home;W;4;1;se Sweden
27/09/2022;UEFA Nations League;Tue;Away;W;2;0;no Norway
