Date;Comp;Day;Venue;Result;GF;GA;Opponent
25/03/2021;WCQ;Thu;Home;D;1;1;gr Greece
28/03/2021;WCQ;Sun;Away;W;2;1;ge Georgia
31/03/2021;WCQ;Wed;Home;W;3;1;xk Kosovo
2/09/2021;WCQ;Thu;Away;L;1;2;se Sweden
5/09/2021;WCQ;Sun;Home;W;4;0;ge Georgia
8/09/2021;WCQ;Wed;Away;W;2;0;xk Kosovo
11/11/2021;WCQ;Thu;Away;W;1;0;gr Greece
14/11/2021;WCQ;Sun;Home;W;1;0;se Sweden
26/03/2022;Friendlies (M);Sat;Home;W;2;1;al Albania
29/03/2022;Friendlies (M);Tue;Home;W;5;0;is Iceland
2/06/2022;UEFA Nations League;Thu;Home;D;1;1;pt Portugal
5/06/2022;UEFA Nations League;Sun;Away;D;2;2;cz Czech Republic
9/06/2022;UEFA Nations League;Thu;Away;W;1;0;ch Switzerland
12/06/2022;UEFA Nations League;Sun;Home;W;2;0;cz Czech Republic
24/09/2022;UEFA Nations League;Sat;Home;L;1;2;ch Switzerland
27/09/2022;UEFA Nations League;Tue;Away;W;1;0;pt Portugal
