Date;Comp;Day;Venue;Result;GF;GA;Opponent
25/03/2021;WCQ;Thu;Away;W;3;1;bg Bulgaria
28/03/2021;WCQ;Sun;Home;W;1;0;lt Lithuania
5/09/2021;WCQ;Sun;Home;D;0;0;it Italy
8/09/2021;WCQ;Wed;Away;D;0;0;nir Northern Ireland
9/10/2021;WCQ;Sat;Home;W;2;0;nir Northern Ireland
12/10/2021;WCQ;Tue;Away;W;4;0;lt Lithuania
12/11/2021;WCQ;Fri;Away;D;1;1;it Italy
15/11/2021;WCQ;Mon;Home;W;4;0;bg Bulgaria
26/03/2022;Friendlies (M);Sat;Away;L;1;2;eng England
29/03/2022;Friendlies (M);Tue;Home;D;1;1;xk Kosovo
2/06/2022;UEFA Nations League;Thu;Away;L;1;2;cz Czech Republic
5/06/2022;UEFA Nations League;Sun;Away;L;0;4;pt Portugal
9/06/2022;UEFA Nations League;Thu;Home;L;0;1;es Spain
12/06/2022;UEFA Nations League;Sun;Home;W;1;0;pt Portugal
24/09/2022;UEFA Nations League;Sat;Away;W;2;1;es Spain
27/09/2022;UEFA Nations League;Tue;Home;W;2;1;cz Czech Republic
