Date;Comp;Day;Venue;Result;GF;GA;Opponent
3/09/2021;WCQ;Fri;Home;W;3;0;gq Equ. Guinea
7/09/2021;WCQ;Tue;Away;W;2;0;zm Zambia
7/10/2021;WCQ;Thu;Home;W;3;0;mr Mauritania
10/10/2021;WCQ;Sun;Away;D;0;0;mr Mauritania
13/11/2021;WCQ;Sat;Away;L;0;1;gq Equ. Guinea
16/11/2021;WCQ;Tue;Home;W;3;1;zm Zambia
12/01/2022;Africa Cup of Nations;Wed;Neutral;L;0;1;ml Mali
16/01/2022;Africa Cup of Nations;Sun;Neutral;W;4;0;mr Mauritania
20/01/2022;Africa Cup of Nations;Thu;Neutral;L;0;1;gm Gambia
23/01/2022;Africa Cup of Nations;Sun;Neutral;W;1;0;ng Nigeria
29/01/2022;Africa Cup of Nations;Sat;Neutral;L;0;1;bf Burkina Faso
25/03/2022;WCQ;Fri;Away;W;1;0;ml Mali
29/03/2022;WCQ;Tue;Home;D;0;0;ml Mali
2/06/2022;Africa Cup of Nations qualification;Thu;Home;W;4;0;gq Equ. Guinea
5/06/2022;Africa Cup of Nations qualification;Sun;Away;D;0;0;bw Botswana
22/09/2022;Friendlies (M);Thu;Neutral;W;1;0;km Comoros
27/09/2022;Friendlies (M);Tue;Neutral;L;1;5;br Brazil
