Date;Comp;Day;Venue;Result;GF;GA;Opponent
2/09/2021;WCQ;Thu;Away;D;0;0;sv El Salvador
5/09/2021;WCQ;Sun;Home;D;1;1;ca Canada
8/09/2021;WCQ;Wed;Away;W;4;1;hn Honduras
7/10/2021;WCQ;Thu;Home;W;2;0;jm Jamaica
10/10/2021;WCQ;Sun;Away;L;0;1;pa Panama
13/10/2021;WCQ;Wed;Home;W;2;1;cr Costa Rica
12/11/2021;WCQ;Fri;Home;W;2;0;mx Mexico
16/11/2021;WCQ;Tue;Away;D;1;1;jm Jamaica
27/01/2022;WCQ;Thu;Home;W;1;0;sv El Salvador
30/01/2022;WCQ;Sun;Away;L;0;2;ca Canada
2/02/2022;WCQ;Wed;Home;W;3;0;hn Honduras
24/03/2022;WCQ;Thu;Away;D;0;0;mx Mexico
27/03/2022;WCQ;Sun;Home;W;5;1;pa Panama
30/03/2022;WCQ;Wed;Away;L;0;2;cr Costa Rica
1/06/2022;Friendlies (M);Wed;Home;W;3;0;ma Morocco
23/09/2022;Friendlies (M);Fri;Neutral;L;0;2;jp Japan
27/09/2022;Friendlies (M);Tue;Away;D;0;0;sa Saudi Arabia
