Date;Comp;Day;Venue;Result;GF;GA;Opponent
24/03/2021;WCQ;Wed;Away;L;1;3;be Belgium
30/03/2021;WCQ;Tue;Home;W;1;0;cz Czech Republic
5/09/2021;WCQ;Sun;Away;W;3;2;by Belarus
8/09/2021;WCQ;Wed;Home;D;0;0;ee Estonia
8/10/2021;WCQ;Fri;Away;D;2;2;cz Czech Republic
11/10/2021;WCQ;Mon;Away;W;1;0;ee Estonia
13/11/2021;WCQ;Sat;Home;W;5;1;by Belarus
16/11/2021;WCQ;Tue;Home;D;1;1;be Belgium
24/03/2022;WCQ;Thu;Home;W;2;1;at Austria
29/03/2022;Friendlies (M);Tue;Home;D;1;1;cz Czech Republic
1/06/2022;UEFA Nations League;Wed;Away;L;1;2;pl Poland
5/06/2022;WCQ;Sun;Home;W;1;0;ua Ukraine
8/06/2022;UEFA Nations League;Wed;Home;L;1;2;nl Netherlands
11/06/2022;UEFA Nations League;Sat;Home;D;1;1;be Belgium
14/06/2022;UEFA Nations League;Tue;Away;L;2;3;nl Netherlands
22/09/2022;UEFA Nations League;Thu;Away;L;1;2;be Belgium
25/09/2022;UEFA Nations League;Sun;Home;L;0;1;pl Poland
