Date,Comp,Result,home_team,away_team,home_score,away_score,year,month,day,home_team_wins,away_team_wins,draw
2019-09-10,WCQ,D,Yemen,Saudi Arabia,2.0,2.0,2019,9,10,False,False,True
2019-10-10,WCQ,W,Saudi Arabia,Singapore,3.0,0.0,2019,10,10,True,False,False
2019-10-15,WCQ,D,Palestine,Saudi Arabia,0.0,0.0,2019,10,15,False,False,True
2019-11-14,WCQ,W,Uzbekistan,Saudi Arabia,2.0,3.0,2019,11,14,False,True,False
2021-03-30,WCQ,W,Saudi Arabia,Palestine,5.0,0.0,2021,3,30,True,False,False
2021-06-05,WCQ,W,Saudi Arabia,Yemen,3.0,0.0,2021,6,5,True,False,False
2021-06-11,WCQ,W,Singapore,Saudi Arabia,0.0,3.0,2021,6,11,False,True,False
2021-06-15,WCQ,W,Saudi Arabia,Uzbekistan,3.0,0.0,2021,6,15,True,False,False
2021-09-02,WCQ,W,Saudi Arabia,Vietnam,3.0,1.0,2021,9,2,True,False,False
2021-09-07,WCQ,W,Oman,Saudi Arabia,0.0,1.0,2021,9,7,False,True,False
2021-10-07,WCQ,W,Saudi Arabia,Japan,1.0,0.0,2021,10,7,True,False,False
2021-10-12,WCQ,W,Saudi Arabia,China PR,3.0,2.0,2021,10,12,True,False,False
2021-11-11,WCQ,D,Australia,Saudi Arabia,0.0,0.0,2021,11,11,False,False,True
2021-11-16,WCQ,W,Vietnam,Saudi Arabia,0.0,1.0,2021,11,16,False,True,False
2022-01-27,WCQ,W,Saudi Arabia,Oman,1.0,0.0,2022,1,27,True,False,False
2022-02-01,WCQ,L,Japan,Saudi Arabia,2.0,0.0,2022,2,1,True,False,False
2022-03-24,WCQ,D,China PR,Saudi Arabia,1.0,1.0,2022,3,24,False,False,True
2022-03-29,WCQ,W,Saudi Arabia,Australia,1.0,0.0,2022,3,29,True,False,False
2022-06-05,Friendlies (M),L,Saudi Arabia,Colombia,0.0,1.0,2022,6,5,False,True,False
2022-06-09,Friendlies (M),L,Saudi Arabia,Venezuela,0.0,1.0,2022,6,9,False,True,False
2022-09-23,Friendlies (M),D,Saudi Arabia,Ecuador,0.0,0.0,2022,9,23,False,False,True
2022-09-27,Friendlies (M),D,Saudi Arabia,United States,0.0,0.0,2022,9,27,False,False,True
2022-10-30,Friendlies (M),D,Saudi Arabia,Honduras,0.0,0.0,2022,10,30,False,False,True
2022-11-06,Friendlies (M),W,Saudi Arabia,Iceland,1.0,0.0,2022,11,6,True,False,False
2020-10-08,WCQ,W,Argentina,Ecuador,1.0,0.0,2020,10,8,True,False,False
2020-10-13,WCQ,W,Bolivia,Argentina,1.0,2.0,2020,10,13,False,True,False
2020-11-12,WCQ,D,Argentina,Paraguay,1.0,1.0,2020,11,12,False,False,True
2020-11-17,WCQ,W,Peru,Argentina,0.0,2.0,2020,11,17,False,True,False
2021-06-03,WCQ,D,Argentina,Chile,1.0,1.0,2021,6,3,False,False,True
2021-06-08,WCQ,D,Colombia,Argentina,2.0,2.0,2021,6,8,False,False,True
2021-09-02,WCQ,W,Venezuela,Argentina,1.0,3.0,2021,9,2,False,True,False
2021-09-09,WCQ,W,Argentina,Bolivia,3.0,0.0,2021,9,9,True,False,False
2021-10-07,WCQ,D,Paraguay,Argentina,0.0,0.0,2021,10,7,False,False,True
2021-10-10,WCQ,W,Argentina,Uruguay,3.0,0.0,2021,10,10,True,False,False
2021-10-14,WCQ,W,Argentina,Peru,1.0,0.0,2021,10,14,True,False,False
2021-11-12,WCQ,W,Uruguay,Argentina,0.0,1.0,2021,11,12,False,True,False
2021-11-16,WCQ,D,Argentina,Brazil,0.0,0.0,2021,11,16,False,False,True
2022-01-27,WCQ,W,Chile,Argentina,1.0,2.0,2022,1,27,False,True,False
2022-02-01,WCQ,W,Argentina,Colombia,1.0,0.0,2022,2,1,True,False,False
2022-03-25,WCQ,W,Argentina,Venezuela,3.0,0.0,2022,3,25,True,False,False
2022-03-29,WCQ,D,Ecuador,Argentina,1.0,1.0,2022,3,29,False,False,True
2022-06-05,Friendlies (M),W,Argentina,Estonia,5.0,0.0,2022,6,5,True,False,False
